,CompetitionId,DurationInt,Is_X23,M21_3,M21_7,M21_15,M21_30,M21_deadline
71,2762.0,54.0,0.0,65.0,98.0,136.0,186.0,249.0
72,2764.0,45.0,0.0,3.0,8.0,9.0,10.0,10.0
73,2766.0,21.0,0.0,7.0,12.0,41.0,120.0,120.0
74,2770.0,13.0,1.0,6.0,12.0,50.0,50.0,50.0
75,2778.0,35.0,1.0,6.0,40.0,81.0,84.0,84.0
76,2779.0,106.0,1.0,5.0,5.0,7.0,7.0,9.0
77,2780.0,91.0,0.0,165.0,318.0,498.0,815.0,1904.0
78,2783.0,12.0,1.0,8.0,14.0,53.0,53.0,53.0
79,2791.0,32.0,1.0,7.0,9.0,44.0,45.0,45.0
80,2799.0,106.0,0.0,165.0,291.0,394.0,509.0,1038.0
81,2803.0,44.0,0.0,4.0,5.0,10.0,54.0,116.0
82,2820.0,24.0,1.0,32.0,32.0,38.0,40.0,40.0
83,2822.0,20.0,1.0,23.0,46.0,89.0,103.0,103.0
84,2824.0,29.0,1.0,4.0,4.0,4.0,12.0,12.0
85,2825.0,29.0,1.0,2.0,2.0,2.0,7.0,7.0
86,2826.0,39.0,1.0,1.0,1.0,2.0,5.0,11.0
87,2830.0,14.0,1.0,2.0,2.0,2.0,2.0,2.0
88,2831.0,3.0,0.0,8.0,8.0,8.0,8.0,8.0
89,2832.0,19.0,1.0,7.0,10.0,21.0,23.0,23.0
90,2834.0,6.0,0.0,1.0,38.0,38.0,38.0,38.0
91,2840.0,60.0,0.0,268.0,423.0,745.0,1135.0,1902.0
92,2850.0,22.0,0.0,36.0,50.0,73.0,84.0,84.0
93,2860.0,46.0,0.0,117.0,195.0,262.0,391.0,537.0
94,2863.0,62.0,0.0,87.0,135.0,193.0,265.0,412.0
95,2888.0,127.0,0.0,19.0,38.0,63.0,90.0,221.0
