,CompetitionId,DurationInt,M17,M18_3,M18_7,M18_15,M18_30,M18_deadline,M19
288,3669.0,23.0,22.0,5.0,8.0,15.0,55.0,55.0,0.4
289,3670.0,55.0,30.0,35.0,57.0,89.0,164.0,362.0,0.08287292817679558
290,3671.0,111.0,3.0,0.0,0.0,2.0,4.0,4.0,0.75
291,3690.0,14.0,6.0,0.0,1.0,16.0,16.0,16.0,0.375
292,3706.0,91.0,53.0,5.0,10.0,20.0,29.0,362.0,0.1464088397790055
293,3722.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
294,3729.0,30.0,0.0,0.0,1.0,3.0,19.0,19.0,0.0
295,3731.0,25.0,8.0,3.0,4.0,11.0,51.0,51.0,0.1568627450980392
296,3742.0,44.0,12.0,0.0,0.0,1.0,5.0,17.0,0.7058823529411765
297,3744.0,16.0,0.0,1.0,7.0,45.0,45.0,45.0,0.0
298,3746.0,19.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
299,3747.0,65.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0
300,3750.0,13.0,5.0,1.0,7.0,12.0,12.0,12.0,0.4166666666666667
301,3752.0,9.0,16.0,5.0,12.0,21.0,21.0,21.0,0.7619047619047619
302,3756.0,56.0,76.0,37.0,59.0,138.0,278.0,754.0,0.10079575596816977
303,3757.0,74.0,6.0,0.0,0.0,4.0,11.0,54.0,0.1111111111111111
304,3765.0,137.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
305,3772.0,65.0,44.0,22.0,52.0,132.0,235.0,614.0,0.07166123778501629
306,3774.0,89.0,14.0,19.0,25.0,32.0,40.0,144.0,0.09722222222222222
307,3778.0,63.0,4.0,0.0,0.0,1.0,4.0,29.0,0.13793103448275862
308,3781.0,19.0,2.0,0.0,0.0,1.0,5.0,5.0,0.4
309,3783.0,137.0,6.0,1.0,1.0,1.0,1.0,7.0,0.8571428571428571
310,3785.0,15.0,7.0,2.0,3.0,9.0,9.0,9.0,0.7777777777777778
311,3786.0,21.0,0.0,1.0,1.0,3.0,13.0,13.0,0.0
312,3787.0,20.0,3.0,0.0,1.0,8.0,11.0,11.0,0.2727272727272727
313,3788.0,90.0,152.0,61.0,108.0,192.0,359.0,1527.0,0.09954158480681075
314,3792.0,91.0,4.0,0.0,0.0,0.0,0.0,17.0,0.23529411764705882
315,3793.0,36.0,2.0,0.0,0.0,0.0,15.0,33.0,0.06060606060606061
316,3794.0,12.0,1.0,0.0,2.0,14.0,14.0,14.0,0.07142857142857142
317,3801.0,18.0,19.0,0.0,0.0,11.0,43.0,43.0,0.4418604651162791
318,3808.0,50.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
319,3809.0,44.0,0.0,0.0,2.0,8.0,36.0,42.0,0.0
320,3811.0,10.0,23.0,1.0,3.0,24.0,24.0,24.0,0.9583333333333334
321,3814.0,9.0,0.0,9.0,13.0,16.0,16.0,16.0,0.0
322,3816.0,74.0,0.0,20.0,38.0,80.0,163.0,694.0,0.0
323,3819.0,23.0,9.0,0.0,0.0,3.0,18.0,18.0,0.5
324,3823.0,18.0,21.0,0.0,0.0,10.0,40.0,40.0,0.525
325,3825.0,11.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0
326,3826.0,10.0,2.0,0.0,5.0,17.0,17.0,17.0,0.11764705882352941
327,3829.0,30.0,0.0,0.0,0.0,8.0,48.0,48.0,0.0
328,3830.0,58.0,0.0,0.0,1.0,10.0,36.0,37.0,0.0
329,3833.0,26.0,0.0,0.0,0.0,20.0,125.0,125.0,0.0
330,3834.0,19.0,0.0,2.0,3.0,60.0,106.0,106.0,0.0
331,3836.0,21.0,0.0,0.0,3.0,6.0,17.0,17.0,0.0
332,3842.0,16.0,0.0,1.0,1.0,23.0,23.0,23.0,0.0
